message_category;category;Русский;English
VIEW_ELEMENT_PERFORMER_TO_OFFER_THE_ORDER_BUTTON;CUSTOMER_INTERFACE;"Представление Исполнители_кнопка_Предложить_заказ";
VIEW_ELEMENT_PERFORMER_FAVOURITES_BUTTON;CUSTOMER_INTERFACE;"Представление Исполнители_подтип1_кнопка_В_избранное";
VIEW_ELEMENT_PERFORMER_REMOVE_BUTTON;CUSTOMER_INTERFACE;"Представление Исполнители_подтип2_кнопка_Удалить";
VIEW_ELEMENT_TAPE_OF_ORDERS1_BUTTON_BROWSING;CUSTOMER_INTERFACE;"Представление Лента_заказов_подтип1_кнопка_Просмотр";
VIEW_ELEMENT_TAPE_OF_ORDERS1_BUTTON_CUSTOMER_PROFILE;CUSTOMER_INTERFACE;"Представление Лента_заказов_подтип1_кнопка_Заказчик";
VIEW_ELEMENT_TAPE_OF_ORDERS2_EDIT_BUTTON;CUSTOMER_INTERFACE;"Представление Лента_заказов_подтип2_Редактировать";
VIEW_ELEMENT_TAPE_OF_ORDERS2_ANSWERS_TO_ORDER;CUSTOMER_INTERFACE;"Представление Лента_заказов_Отклики на заказ";
NEW_ORDER_BUTTON;CUSTOMER_INTERFACE;Кнопка_Новый_заказ;
VIEW_ELEMENT_PERFORMER_COMPANY_ID;CUSTOMER_INTERFACE;элемент_вид_Исполнители_ID;
VIEW_ELEMENT_PERFORMER_EXPERIENCE;CUSTOMER_INTERFACE;элемент_вид_Исполнители_Опыт;
VIEW_ELEMENT_PERFORMER_SPECIALIZATION;CUSTOMER_INTERFACE;элемент_вид_Исполнители_Специализация;
VIEW_ELEMENT_TAPE_OF_ORDERS_ORDER_ID;CUSTOMER_INTERFACE;"элемент_вид_лента_заказов_Заказ ID";
VIEW_ELEMENT_TAPE_OF_ORDERS_DATE_OF_PLACEMENT;CUSTOMER_INTERFACE;"элемент_вид_лента_заказов_Дата размещения";
VIEW_ELEMENT_TAPE_OF_ORDERS_BUDGET;CUSTOMER_INTERFACE;элемент_вид_лента_заказов_Бюджет;
VIEW_ELEMENT_TAPE_OF_ORDERS_SHORT_DESCRIPTION;CUSTOMER_INTERFACE;"элемент_вид_лента_заказов_Краткое описание";
VIEW_ELEMENT_TAPE_OF_ORDERS_NUMBER;CUSTOMER_INTERFACE;элемент_вид_лента_заказов_Количество;
BUTTON_EDIT_PROFILE_CUSTOMER;CUSTOMER_INTERFACE;"Кнопка_Редактировать профиль Заказчика";
BUTTON_SETTINGS_CUSTOMER;CUSTOMER_INTERFACE;"Кнопка_Настройки Заказчика";
BUTTON_EXIT_CUSTOMER;CUSTOMER_INTERFACE;Кнопка_Выход_из_интерфейса_заказчика;
FORM_NAME_ANSWER_OF_THE_PERFORMER_TO_ORDER;FORM_ANSWER_OF_THE_PERFORMER_TO_ORDER;"Наименование формы Отклик на заказ";
ANSWER_OF_THE_PERFORMER_TO_ORDER_PROPOSAL_OF_THE_PERFORMER;FORM_ANSWER_OF_THE_PERFORMER_TO_ORDER;"Предложение исполнителя*";
ANSWER_OF_THE_PERFORMER_TO_ORDER_NOTE;FORM_ANSWER_OF_THE_PERFORMER_TO_ORDER;"Комментарий * Указать сумму предложения Заказчику, за которую Ваша компания готова выполнить заказ.";
ANSWER_OF_THE_PERFORMER_TO_ORDER_CANCEL_BUTTON;FORM_ANSWER_OF_THE_PERFORMER_TO_ORDER;Отмена;
ANSWER_OF_THE_PERFORMER_TO_ORDER_OK_BUTTON;FORM_ANSWER_OF_THE_PERFORMER_TO_ORDER;Подтвердить;
FORM_NAME_FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER;FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER;"Наименование формы - Отклики исполнителей по заказу ";
FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER_ALL;FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER;"Всего ";
FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER_NEW;FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER;Новых;
FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER_ID;FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER;ID;
FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER_EXPERIENCE;FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER;Опыт:;
FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER_ADRESS;FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER;Адрес:;
FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER_PROPOSAL_OF_THE_PERFORMER;FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER;"Предложение исполнителя";
FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER_COMMENT_TO_THE_OFFER;FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER;"Комментарии к предложению";
FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER_PROFILE;FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER;Профиль;
FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER_CHOOSE_THE_PERFORMER;FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER;"Выбрать исполнителя";
FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER_CANCEL_BUTTON;FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER;Отмена;
FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER_OK_BUTTON;FORM_ANSWER_OF_THE_PERFORMER_TO_THE_OFFER;Ок;
CUSTOMER_SETTING1;FORM_CUSTOMER_SETTINGS;Настройки_Заказчика_настройка1;
CUSTOMER_SETTING2;FORM_CUSTOMER_SETTINGS;Настройки_Заказчика_настройка2;
CUSTOMER_SETTING3;FORM_CUSTOMER_SETTINGS;Настройки_Заказчика_настройка3;
FORM_NAME_OFFER_OF_THE_ORDER_TO_PERFORMER;FORM_OFFER_OF_THE_ORDER_TO_PERFORMER;"Выбрать и предложить заказы";
OFFER_OF_THE_ORDER_TO_PERFORMER_ORDER;FORM_OFFER_OF_THE_ORDER_TO_PERFORMER;Заказ;
OFFER_OF_THE_ORDER_TO_PERFORMER_ID;FORM_OFFER_OF_THE_ORDER_TO_PERFORMER;ID;
OFFER_OF_THE_ORDER_TO_PERFORMER_BUDGET;FORM_OFFER_OF_THE_ORDER_TO_PERFORMER;Бюджет;
OFFER_OF_THE_ORDER_TO_PERFORMER_CANCEL_BUTTON;FORM_OFFER_OF_THE_ORDER_TO_PERFORMER;"Отмена ";
OFFER_OF_THE_ORDER_TO_PERFORMER_CONFIRM;FORM_OFFER_OF_THE_ORDER_TO_PERFORMER;ОК;
ORDER_FORM_NAME;FORM_ORDER;"Наименование формы - Заказ";
"ORDER_DATE ";FORM_ORDER;"Дата размещения заказа";
ORDER_ID;FORM_ORDER;"ID заказа";
USER_CONTRACT;FORM_ORDER;Пользователь;
DIRECTIONS;FORM_ORDER;"Список направлений к которым относится заказ";
NOTE;FORM_ORDER;"Примечание!Поиск заказа Исполнителем осуществляемся по данным параметрам. Для быстрого и корректного выбора Исполнителя внимательно заполните данное поле!";
ORDER_SHORT_DESCRIPTION;FORM_ORDER;"Краткое описание заказа*";
ORDER_DESCRIPTION;FORM_ORDER;"Описание заказа*";
ORDER_COMPLETION_DATE;FORM_ORDER;"Срок исполнения до*";
ORDER_PLACEMENT_TIME;FORM_ORDER;"Срок размещения заказа*";
ORDER_MATIRIAL;FORM_ORDER;Материал*;
ORDER_MODEL;FORM_ORDER;"Прикрепить модель*";
ORDER_MODEL_UPLOAD;FORM_ORDER;"Загрузить архив модели (zip, rar)";
ORDER_MODEL_UPLOAD_NOTE;FORM_ORDER;"(архив ZIP, RAR форматы dwg,dxf,step,iges,stl)";
ORDER_NUMBER;FORM_ORDER;Количество*;
ORDER_BUDGET;FORM_ORDER;Бюджет*;
ORDER_MATERIAL_CUSTOMER;FORM_ORDER;"Материал заказчика*";
ORDER_MATERIAL_CUSTOMER_FIELD_YES;FORM_ORDER;"Выбор ""Да"" ""Нет"" в поле";
ORDER_MATERIAL_CUSTOMER_FIELD_NO;FORM_ORDER;"Выбор ""Да"" ""Нет"" в поле";
ORDER_MATERIALS_INCLUDED_IN_THE_BUDGET;FORM_ORDER;"Материал включен в бюджет*";
ORDER_MATERIALS_INCLUDED_IN_THE_BUDGET_FIELD_YES;FORM_ORDER;"Выбор ""Да"" ""Нет"" в поле";
ORDER_MATERIALS_INCLUDED_IN_THE_BUDGET_FIELD_NO;FORM_ORDER;"Выбор ""Да"" ""Нет"" в поле";
ORDER_MODEL_IS_NECESSARY;FORM_ORDER;"Требуется моделирование*";
ORDER_MODEL_IS_NECESSARY_FIELD_YES;FORM_ORDER;"Выбор ""Да"" ""Нет"" в поле";
ORDER_MODEL_IS_NECESSARY_FIELD_NO;FORM_ORDER;"Выбор ""Да"" ""Нет"" в поле";
ORDER_FOTO;FORM_ORDER;Фото;
ORDER_UPLOAD_FOTO;FORM_ORDER;"Загрузить (jpg)";
ORDER_ENTER_SYMBOLS;FORM_ORDER;"Введите символы с картинки";
ORDER_SAVE_BUTTON;FORM_ORDER;"Кнопка Разместить";
ORDER_CANCEL_BUTTON;FORM_ORDER;"Кнопка Отменить";
ORDER_ADD_DIRECTION_BUTTON;FORM_ORDER;"Кнопка Добавить";
PERFORMER_SETTINGS;FORM_PERFORMER_SETTINGS;Форма_Настройки_Исполнителя_наименование_формы;
PERFORMER_SETTING1;FORM_PERFORMER_SETTINGS;Форма_Настройки_Исполнителя_настройка1;
PERFORMER_SETTING2;FORM_PERFORMER_SETTINGS;Фориа_Настройки_Исполнителя_настройка2;
PERFORMER_SETTING3;FORM_PERFORMER_SETTINGS;Форма_Настройки_Исполнителя_настройка3;
PERFORMER_SETTING4;FORM_PERFORMER_SETTINGS;Форма_Настройки_Исполнителя_настройка4;
PERFORMER_SETTING5;FORM_PERFORMER_SETTINGS;Форма_Настройки_Исполнителя_настройка5;
PERFORMER_SETTING_COUNTRY;FORM_PERFORMER_SETTINGS;Форма_Настройки_Исполнителя_Страна;
PERFORMER_SETTING_STATE;FORM_PERFORMER_SETTINGS;Форма_Настройки_Исполнителя_Регион;
PERFORMER_SETTING_CITY;FORM_PERFORMER_SETTINGS;Форма_Настройки_Исполнителя_Город;
PERFORMER_SETTINGS_ADD_BUTTON;FORM_PERFORMER_SETTINGS;Форма_Настройки_Исполнителя_кнопка_добавить;
PERFORMER_SETTINGS_CANCEL_BUTTON;FORM_PERFORMER_SETTINGS;Форма_Настройки_Исполнителя_кнопка_Отмена;
PERFORMER_SETTINGS_SAVE_BUTTON;FORM_PERFORMER_SETTINGS;Форма_Настройки_Исполнителя_кнопка_Сохранить;
VIEW_PERFORMERS;GUEST_INTERFACE;;
VIEW_TAPE_OF_ORDERS;GUEST_INTERFACE;;
VIEW_ELEMENT_TAPE_OF_ORDERS_ORDER_ID;GUEST_INTERFACE;"элемент_вид_лента_заказов_Заказ ID";
VIEW_ELEMENT_TAPE_OF_ORDERS_DATE_OF_PLACEMENT;GUEST_INTERFACE;"элемент_вид_лента_заказов_Дата размещения";
VIEW_ELEMENT_TAPE_OF_ORDERS_BUDGET;GUEST_INTERFACE;элемент_вид_лента_заказов_Бюджет;
VIEW_ELEMENT_TAPE_OF_ORDERS_SHORT_DESCRIPTION;GUEST_INTERFACE;"элемент_вид_лента_заказов_Краткое описание";
VIEW_ELEMENT_TAPE_OF_ORDERS_NUMBER;GUEST_INTERFACE;элемент_вид_лента_заказов_Количество;
VIEW_ELEMENT_TAPE_OF_ORDERS_BUTTON_BROWSING;GUEST_INTERFACE;Кнопка_вид_лента_заказов_Просмотр;
VIEW_ELEMENT_TAPE_OF_ORDERS_BUTTON_CUSTOMER_PROFILE;GUEST_INTERFACE;Кнопка_вид_лента_заказов_Заказчик;
VIEW_ELEMENT_PERFORMERS_COMPANY_ID;GUEST_INTERFACE;элемент_вид_Исполнители_ID;
VIEW_ELEMENT_PERFORMERS_EXPERIENCE;GUEST_INTERFACE;элемент_вид_Исполнители_Опыт;
VIEW_ELEMENT_PERFORMERS_SPECIALIZATION;GUEST_INTERFACE;элемент_вид_Исполнители_Специализация;
VIEW_ELEMENT_PERFORMERS_PROFILE_BUTTON;GUEST_INTERFACE;Кнопка_вид_Исполнители_Профиль;
VIEW_ELEMENT_PERFORMERS_TO_OFFER_THE_ORDER_BUTTON;GUEST_INTERFACE;Кнопка_вид_Исполнители_Предложить_заказ;
VIEW_ELEMENT_PERFORMERS_REMOVE_BUTTON;GUEST_INTERFACE;Кнопка_вид_Исполнители_Удалить;
FRONTEND_FLASH_SUCCESS_RECOVERY;GUEST_INTERFACE;"На ваш E-mail отправлено сообщение. Для изменения пароля перейдите по ссылке, указанной в письме.";
BUTTON_FOR_CUSTOMER;Homepage;"Кнопка Для заказчика";
BUTTON_FOR_PERFORMER;Homepage;"Кнопка Для Исполнителя";
ABOUT_THE_SYSTEM;Homepage;"О системе";
ALL_PERFORMERS;Homepage;"Все исполнители";
ALL_ORDERS;Homepage;"Все заказы";
TEXT_FOR_THE_HEADING_OF_GREETING;Homepage;"Текст заголовка приветствия на главной странице";
TEXT_OF_GREETING;Homepage;"Текст приветствия на главной странице";
TEXT_ABOUT_THE_SYSTEM;Homepage;"Текст О системе";
TEXT_ALL_PERFORMERS;Homepage;"Текст Все исполнители";
TEXT_ALL_ORDERS;Homepage;"Текст Все заказы";
TEXT_FOR_HEADING_OF_SLIDER1;Homepage;"Текст Заголовка слайдера 1";
TEXT_FOR_SLIDER1;Homepage;"Текст под заголовком слайдера 1";
TEXT_FOR_HEADING_OF_SLIDER2;Homepage;"Текст Заголовка слайдера 2";
TEXT_FOR_SLIDER2;Homepage;"Текст под заголовком слайдера 2";
TEXT_FOR_HEADING_OF_SLIDER3;Homepage;"Текст Заголовка слайдера 3";
TEXT_FOR_SLIDER3;Homepage;"Текст под заголовком слайдера 3";
TEXT_FOR_HEADING_OF_SLIDER4;Homepage;"Текст Заголовка слайдера 4";
TEXT_FOR_SLIDER4;Homepage;"Текст под заголовком слайдера 4";
TEXT_FOR_HEADING_OF_SLIDER5;Homepage;"Текст Заголовка слайдера 5";
TEXT_FOR_SLIDER5;Homepage;"Текст под заголовком слайдера 5";
ABOUT_MENU_ALL_PAGES;"Horizontal menu ALL pages";"О проекте";About
NEWS_MENU_ALL_PAGES;"Horizontal menu ALL pages";Новости;news
TECHNOLOGIES_MENU_ALL_PAGES;"Horizontal menu ALL pages";Технологии;technologies
ARTICLES_MENU_ALL_PAGES;"Horizontal menu ALL pages";Статьи;
TRAININGS_MENU_ALL_PAGES;"Horizontal menu ALL pages";Обучение;
PARTNERS_MENU_ALL_PAGES;"Horizontal menu ALL pages";Партнеры;
CONTACTS_MENU_ALL_PAGES;"Horizontal menu ALL pages";Контакты;
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION1;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 1";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION2;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 2";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION3;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 3";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION4;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 4";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION5;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 5";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION6;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 6";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION7;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 7";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION8;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 8";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION9;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 9";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION10;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 10";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION11;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 11";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION12;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 12";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION13;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 13";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION14;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 14";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION15;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 15";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION16;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 16";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION17;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 17";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION18;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 18";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION19;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 19";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION20;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 20";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION21;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 21";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION22;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 22";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION23;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 23";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION24;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 24";
TECHNOLOGIES_SUBMENU_ALL_PAGES_DIRECTION25;"Horizontal menu ALL pages";"ПОДМЕНЮ_ТЕХНОЛОГИИ Направление 25";
SELECT_LANGUAGE_ALL_PAGES;"Horizontal menu ALL pages";"Select language";
SEARCH;"Horizontal menu ALL pages";;
LOGIN_LOGIN_FORM_ALL_PAGES;"Login form for ALL pages";"Вход в систему поле Логин";
PASSWORD_LOGIN_FORM_ALL_PAGES;"Login form for ALL pages";"Вход в систему поле Пароль";
ENTRANCE_BUTTON_LOGIN_FOR_ALL_PAGES;"Login form for ALL pages";"Вход в систему кнопка Войти";
FORGOT_PASSWORD_BUTTON_LOGIN_FOR_ALL_PAGES;"Login form for ALL pages";"Вход в систему кнопка Забыли?";
REGISTRATION_BUTTON_LOGIN_FOR_ALL_PAGES;"Login form for ALL pages";"Вход в систему кнопка Регистрация";
VIEW_PERFORMER1;PERFORMER_INTERFACE;"Представление Исполнители подтип1";
VIEW_PERFORMER2;PERFORMER_INTERFACE;"Представление Исполнители подтип2";
VIEW_PERFORMER3;PERFORMER_INTERFACE;"Представление Исполнители подтип3";
VIEW_TAPE_OF_ORDERS1;PERFORMER_INTERFACE;"Представление Лента заказов подтип1";
VIEW_TAPE_OF_ORDERS2;PERFORMER_INTERFACE;"Представление Лента заказов подтип2";
VIEW_TAPE_OF_ORDERS3;PERFORMER_INTERFACE;"Представление Лента заказов подтип3";
VIEW_TAPE_OF_ORDERS4;PERFORMER_INTERFACE;"Представление Лента заказов подтип4";
VIEW_TAPE_OF_ORDERS5;PERFORMER_INTERFACE;"Представление Лента заказов подтип5";
VIEW_COMMENTS1;PERFORMER_INTERFACE;"Представление Комментарии подтип1";
VIEW_COMMENTS2;PERFORMER_INTERFACE;"Представление Комментарии подтип2";
VIEW_ELEMENT_PERFORMER_1_2_3_PROFILE_BUTTON;PERFORMER_INTERFACE;"Представление Исполнители_подтип1_2_3_кнопка_профиль";
VIEW_ELEMENT_PERFORMER_1_2_3_TO_OFFER_THE_ORDER_BUTTON;PERFORMER_INTERFACE;"Представление Исполнители_подтип1_2_3_кнопка_Предложить_заказ";
VIEW_ELEMENT_PERFORMER_1_2_FAVOURITES_BUTTON;PERFORMER_INTERFACE;"Представление Исполнители_подтип1_2_кнопка_В_избранное";
VIEW_ELEMENT_PERFORMER_3_REMOVE_BUTTON;PERFORMER_INTERFACE;"Представление Исполнители_подтип_3_кнопка_Удалить";
VIEW_ELEMENT_TAPE_OF_ORDERS_1_2_3_4_BUTTON_BROWSING;PERFORMER_INTERFACE;"Представление Лента_заказов_подтип1_2_3_4_кнопка_Просмотр";
VIEW_ELEMENT_TAPE_OF_ORDERS_1_2_ANSWER_TO_THE_ORDER_BUTTON;PERFORMER_INTERFACE;"Представление Лента_заказов_подтип1_2_кнопка_Отклик_на_заказ";
VIEW_ELEMENT_TAPE_OF_ORDERS_3_4_REFUSE_BUTTON;PERFORMER_INTERFACE;"Представление Лента_заказов_подтип3_кнопка_Удалить";
;PERFORMER_INTERFACE;"Представление Лента_заказов_подтип4_кнопка_Отказаться";
VIEW_ELEMENT_TAPE_OF_ORDERS_5_EDIT_BUTTON;PERFORMER_INTERFACE;"Представление Лента_заказов_подтип5_кнопка_Редактировать";
VIEW_ELEMENT_TAPE_OF_ORDERS_5_ANSWERS_TO_ORDER_BUTTON;PERFORMER_INTERFACE;"Представление Лента_заказов_подтип5_кнопка_Отклики на заказ";
VIEW_ELEMENT_COMMENTS_1_2_EDIT_BUTTON;PERFORMER_INTERFACE;"Представление Комментарии_подтип1_2_кнопка_Редактировать";
VIEW_ELEMENT_COMMENTS_1_2_RESPOND_TO_THE_COMMENT_BUTTON;PERFORMER_INTERFACE;"Представление Комментарии_подтип1_2_кнопка_Ответить";
BUTTON_EDIT_PROFILE_PERFORMER;PERFORMER_INTERFACE;"Кнопка_Редактировать профиль Исполнителя";
BUTTON_SETTINGS_PERFORMER;PERFORMER_INTERFACE;"Кнопка_Настройки Исполнителя";
BUTTON_EXIT_PERFORMER;PERFORMER_INTERFACE;Кнопка_Выход_из_интерфейса_Исполнителя;
NEW_ORDER_BUTTON;PERFORMER_INTERFACE;Кнопка_Новый_заказ_интерфейс_исполнителя;
NAME_OF_CUSTOMER_REG_FORM;REGISTRATION_FORM_CUSTOMER;Наименование_формы_Регистрация_заказчика;
DATE_OF_REGISTRATION_CUSTOMER_REG_FORM;REGISTRATION_FORM_CUSTOMER;"Дата регистрации Заказчика";
CUSTOMER_ID_REG_FORM;REGISTRATION_FORM_CUSTOMER;ID_заказчик;
LOGIN_CUSTOMER_REG_FORM;REGISTRATION_FORM_CUSTOMER;Логин_заказчик;
PASSWORD_CUSTOMER_REG_FORM;REGISTRATION_FORM_CUSTOMER;Пароль_заказчик;
PASSWORD2_CUSTOMER_REG_FORM;REGISTRATION_FORM_CUSTOMER;Пароль_повторно_заказчик;
NAME_OR_COMPANY_NAME_CUSTOMER_REG_FORM;REGISTRATION_FORM_CUSTOMER;Имя_Наименование_компании_заказчика;
EMAIL_CUSTOMER_REG_FORM;REGISTRATION_FORM_CUSTOMER;Email_заказчика;
PHONE1_CUSTOMER_REG_FORM;REGISTRATION_FORM_CUSTOMER;Телефон_заказчика;
COUNTRY_PHONE_CODE1_CUSTOMER_REG_FORM;REGISTRATION_FORM_CUSTOMER;Код_страны_заказчика;
CITY_PHONE_CODE1_CUSTOMER_REG_FORM;REGISTRATION_FORM_CUSTOMER;Код_города_заказчика;
PHONE_NUMBER1_CUSTOMER_REG_FORM;REGISTRATION_FORM_CUSTOMER;Номер_телефона_заказчика;
COUNTRY_CUSTOMER_REG_FORM;REGISTRATION_FORM_CUSTOMER;Страна_заказчика;
REGION_CUSTOMER_REG_FORM;REGISTRATION_FORM_CUSTOMER;Регион_заказчика;
CITY_CUSTOMER_REG_FORM;REGISTRATION_FORM_CUSTOMER;Город_заказчика;
LICENSE_AGREEMENT_CUSTOMER_REG_FORM;REGISTRATION_FORM_CUSTOMER;"Я подтверждаю согласие с Пользовательским соглашением";
AVATAR_CUSTOMER_REG_FORM;REGISTRATION_FORM_CUSTOMER;Аватар;
ENTER_SYMBOLS_FROM_THE_PICTURE_CUSTOMER_REG_FORM;REGISTRATION_FORM_CUSTOMER;"Введите символы с картинки";
CANCEL_BUTTON_CUSTOMER_REG_FORM;REGISTRATION_FORM_CUSTOMER;"Кнопка Отмена";
REGISTRATION_BUTTON_CUSTOMER_REG_FORM;REGISTRATION_FORM_CUSTOMER;"Кнопка Зарегистрироваться";
NAME_OF_PERFORMER_REG_FORM;REGISTRATION_FORM_PERFORMER;Наименование_формы_Регистрация_Исполнителя;
